Formato Space: #s:ID|Nombre|gdescId|northLink|eastLink|southLink|westLink|upLink|downLink

#s:11|Entry|1|-1|1|-1|-1|-1|1
#s:12|Lobby|1|3|2|-1|1|-1|-1
#s:100|BossRoom|1|-1|-1|-1|2|-1|-1
#s:13|Hall1|1|4|-1|3|-1|-1|-1
#s:14|Lobby2|1|-1|10|4|5|-1|-1
#s:15|tmp|1|-1|5|-1|6|-1|-1
#s:16|ememies|1|7|6|8|-1|-1|-1
#s:17|sword|1|8|-1|-1|-1|-1|-1
#s:18|tmp|1|9|-1|7|-1|-1|-1
#s:19|Portal 1|1|-1|-1|9|-1|-1|17

#s:19|tmp|1|-1|9|s|w|u|d
#s:20|tmp|1|n|e|s|w|u|d
#s:21|tmp|1|n|e|s|w|u|d
#s:22|tmp|1|n|e|s|w|u|d
#s:23|tmp|1|n|e|s|w|u|d
#s:24|tmp|1|n|e|s|w|u|d
#s:25|tmp|1|n|e|s|w|u|d
#s:26|tmp|1|n|e|s|w|u|d
#s:27|tmp|1|n|e|s|w|u|d
